"(0, 0)","(1, 0)","(2, 0)","(3, 0)","(4, 0)","(5, 0)","(0, 1)","(1, 1)","(2, 1)","(3, 1)","(4, 1)","(5, 1)","(0, 2)","(1, 2)","(2, 2)","(3, 2)","(4, 2)","(5, 2)","(0, 3)","(1, 3)","(2, 3)","(3, 3)","(4, 3)","(5, 3)","(0, 4)","(1, 4)","(2, 4)","(3, 4)","(4, 4)","(5, 4)","(0, 5)","(1, 5)","(2, 5)","(3, 5)","(4, 5)","(5, 5)"
1.0,0.0,1.0,0.752,0.555584,1.440022528,0.752,-0.404416,0.711962816,1.6660683187840002,0.0,0.14049784217600014,0.555584,0.359985344,-0.400486900672,1.2398779053104003,1.9819833010058372,1.543640060772047,0.40002252800000004,0.3124563912320001,0.1678172586892161,-0.0014027903839306521,1.529591898148614,2.3739925260481742,0.2768178421760001,0.0,0.0,0.0,0.21143678333370253,1.8611343221801906,0.17923973100339205,0.1019578669546865,0.04075063062811172,-0.007725500542535513,0.1266931078465814,1.4465610008435223
1.99,0.0,1.965448,1.756023579559616,1.4607763070112159,2.4276769268421106,1.570490816,0.23943009132799986,1.705279158601088,2.7245340752723397,0.0,0.9505386988097995,1.294470091328,1.0398570741052162,0.576274856574208,2.3710985452161175,3.2255559925274557,2.843768937342684,1.0557557253357441,0.9300375675342937,0.7702548728982395,1.1055948781448035,2.8591194990968494,3.770343088864763,0.8509684672167573,0.0,0.0,0.0,1.4696071827305799,3.2758551353670584,0.6618055882335215,0.5043376835379768,0.3675040702264438,0.2495335745119215,1.291842251682808,2.825579189210817
2.9701000000000004,0.0,2.925060502376402,2.720223125710474,2.403650424350916,3.4010215338270613,2.491501369825472,1.0999185142796621,2.6552687242477586,3.687017192715185,0.0,1.8818157171553729,2.164367474279662,1.8751446917290742,1.523350910061799,3.3502593999867627,4.255788318460323,3.8901480700165694,1.8707725756236264,1.7193649235609856,1.5488039919733445,2.0897898704054656,3.9107375111883287,4.841424250858379,1.61014363640283,0.0,0.0,0.0,2.5671048783528225,4.3728610480381045,1.3506819439364197,1.1295989609381638,0.9274081829678618,1.0325467110861446,2.579894483728495,3.958447843667171
3.9403990000000007,0.0,3.875530997062711,3.6637373411978076,3.3376027582501453,4.360732859706676,3.436346576526409,2.0161177460037814,3.594030908606845,4.622503736259545,0.0,2.8262999368844515,3.081498193043781,2.7703593531775867,2.4524137361798917,4.285134962526941,5.202312947456554,4.839336548972131,2.755970181309951,2.5872110869946,2.405191735986894,3.0191038857916848,4.858424139913947,5.793039537472388,2.4615368236052415,0.0,0.0,0.0,3.534928545524548,5.330958483440833,2.155084973877935,1.890487893577081,1.6408932319406848,2.2077206799080247,3.7004581720804506,4.940350814444154
4.900995010000001,0.0,4.815808115161459,4.594457893876153,4.259655998083442,5.307118921808909,4.381382015850489,2.943915789372543,4.523195560245452,5.544234882303908,0.0,3.7628455735757784,4.009388453629503,3.6830172160349135,3.3712179493920216,5.199813585572704,6.114265331423262,5.748530768480992,3.6644106008367174,3.4829657978626023,3.290373470759694,3.924983323230273,5.764582405696787,6.697040941010695,3.3495974869365184,0.0,0.0,0.0,4.443272081179428,6.231705251177876,3.0133929235317694,2.7209237983654235,2.4398685082296714,3.327891566909506,4.678987140112499,5.847825016433986
5.851985059900001,0.0,5.7457363621025985,5.514353783627085,5.170780084253172,6.2405501876728025,5.319976650157881,3.869487874460381,5.442581751704924,6.455063043399526,0.0,4.687559172204864,4.93496966822182,4.5963888907916575,4.280348792510371,6.101476728641855,7.015648884702386,6.643469327892629,4.576086240702914,4.384116416813479,4.181721706180013,4.817053676160152,6.656289283784203,7.583607399945657,4.247480605050138,0.0,0.0,0.0,5.328603868660462,7.110687663620956,3.8917019946675317,3.580970891853039,3.279222910977082,4.324680345217181,5.58222892288424,6.723239969580302
6.793465209301002,0.0,6.665372123212498,6.423946987459933,6.071580470750395,7.161416683820757,6.2501814337036015,4.788265495253205,6.352064246910919,7.355671615809002,0.0,5.5999787296826025,5.853748192835587,5.504234378020387,5.17980028311301,6.993041387334455,7.906408477491771,7.527050541006681,5.483228631819907,5.28166380508992,5.069868410571226,5.699378390510076,7.536891107428601,8.458353380707344,5.143718236201294,0.0,0.0,0.0,6.200707618779313,7.976844010477843,4.773619458836961,4.449738847985775,4.133479303978196,5.23741201527732,6.451316773532292,7.581941573866598
7.725530557207991,0.0,7.57481731354087,7.3234375540479935,6.962335476014588,8.070093477409738,7.1714264472754525,5.698727233696244,7.251640798425389,8.246286471815216,0.0,6.500309822585669,6.7642100207569005,6.404313049279296,6.06963760157767,7.874687447505527,8.786647575036191,8.399932536554672,6.382978687693538,6.172230829235835,5.9512179119575235,6.572075251343604,8.407037314001709,9.322420247727496,6.033775331421139,0.0,0.0,0.0,7.061951163985812,8.832197558472078,5.651862534860993,5.31732341951109,4.989749050440466,6.106450463662483,7.302711252316638,8.428681096102027
8.648275251635912,0.0,8.474182544215665,8.212955253579265,7.843202985085667,8.966930383895559,8.083579213711841,6.600395725274357,8.141374112530675,9.127038958685022,0.0,7.388870208917245,7.665878521193362,7.295865817681652,6.949853070377826,8.746528419174526,9.656524514045854,9.262385170332147,7.274341530961152,7.054620060566064,6.824465115219523,7.435169248479125,9.266968775248772,10.17615856817771,6.915966008142617,0.0,0.0,0.0,7.912959993520358,9.677288183643999,6.52339448793179,6.179358471505174,5.84202222141931,6.952824503639949,8.14186688145067,9.264896491223766
9.561792499119553,0.0,9.363579217000506,9.092614166878565,8.714304611214786,9.852251128561207,8.986653178262321,7.493159209936403,9.021354358557922,9.998041358574874,0.0,8.26597919518609,8.558642006732386,8.178674617111795,7.8205077525702205,9.608674950386291,10.516202367075442,10.114603913296767,8.157011666893244,7.928449413269557,7.6891842492206735,8.288729710128417,10.116856214276059,11.019774762793963,7.789714509791687,0.0,0.0,0.0,8.75398469124591,10.512357626746919,7.387026434739275,7.034037913671531,6.687678427468876,7.78501782182964,8.970487326746184,10.091090238362586
